"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
137,"RAMP","LiveRamp Holdings Inc","Technology","Software - Infrastructure","USA",2295.01,15.60,37.75,-0.03%,618613
138,"RBLX","Roblox Corp","Communication Services","Electronic Gaming & Multimedia","USA",30939.62,,43.31,4.34%,9982158
139,"RCUS","Arcus Biosciences Inc","Healthcare","Biotechnology","USA",3776.71,,29.66,-1.56%,736996
140,"REGN","Regeneron Pharmaceuticals Inc","Healthcare","Biotechnology","USA",85217.90,20.46,827.72,-1.87%,561170
141,"RGLD","Royal Gold Inc","Basic Materials","Gold","USA",22208.02,28.57,262.11,-1.03%,355607
142,"RIOT","Riot Platforms Inc","Financial","Capital Markets","USA",8180.64,,21.80,3.12%,15368624
143,"RNG","RingCentral Inc","Technology","Software - Application","USA",6128.52,58.45,73.39,-3.89%,1150920
144,"ROKU","Roku Inc","Communication Services","Entertainment","USA",23106.46,66.47,155.59,-1.72%,2073399
145,"RS","Reliance Inc","Basic Materials","Steel","USA",20447.86,23.29,400.51,0.57%,334997
146,"RVTY","Revvity Inc","Healthcare","Diagnostics & Research","USA",14530.78,61.84,130.22,-0.31%,1175324
147,"SEB","Seaboard Corp","Industrials","Conglomerates","USA",4141.10,6.53,4323.58,0.62%,10283
148,"SEI","Solaris Energy Infrastructure Inc","Energy","Oil & Gas Equipment & Services","USA",4211.16,69.88,55.00,3.44%,1527802
149,"SLAB","Silicon Laboratories Inc","Technology","Semiconductors","USA",7360.04,,220.58,-0.06%,346881
150,"SLDE","Slide Insurance Holdings Inc","Financial","Insurance - Property & Casualty","USA",2881.75,6.01,24.67,-0.24%,1160465
151,"SMMT","Summit Therapeutics Inc","Healthcare","Biotechnology","USA",14044.39,,17.60,2.77%,6946115
152,"SMP","Standard Motor Products Inc","Consumer Cyclical","Auto Parts","USA",927.79,18.61,41.53,5.70%,290828
153,"SMTC","Semtech Corp","Technology","Semiconductors","USA",13801.46,98.30,147.88,9.22%,2801670
154,"SNDK","Sandisk Corp","Technology","Computer Hardware","USA",254769.07,23.87,1740.00,11.90%,16556967
155,"SNX","TD Synnex Corp","Technology","Electronics & Computer Distribution","USA",21000.37,18.79,262.64,0.04%,426223
156,"SUN","Sunoco LP","Energy","Oil & Gas Refining & Marketing","USA",15484.74,16.59,75.60,2.18%,359446
157,"SWKS","Skyworks Solutions Inc","Technology","Semiconductors","USA",11137.99,38.34,74.02,3.52%,4805405
158,"TARS","Tarsus Pharmaceuticals Inc","Healthcare","Biotechnology","USA",3983.70,,90.78,9.10%,1595936
159,"TATT","TAT Technologies Ltd","Industrials","Aerospace & Defense","Israel",519.54,24.93,39.97,2.47%,84973
160,"TDS","Telephone And Data Systems Inc","Communication Services","Telecom Services","USA",4070.51,13.90,37.83,0.03%,1310457
161,"TDW","Tidewater Inc","Energy","Oil & Gas Equipment & Services","USA",4690.02,19.06,94.26,-0.34%,477355
162,"THC","Tenet Healthcare Corp","Healthcare","Medical Care Facilities","USA",21341.56,10.22,265.05,0.59%,557839
163,"TILE","Interface Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",2152.49,15.05,37.24,2.34%,721572
164,"TITN","Titan Machinery Inc","Industrials","Industrial Distribution","USA",617.03,,26.22,14.85%,873365
165,"TVTX","Travere Therapeutics Inc","Healthcare","Biotechnology","USA",6153.36,,65.28,-1.89%,1050705
166,"TXG","10x Genomics Inc","Healthcare","Health Information Services","USA",8162.74,,62.65,-0.90%,1469824
167,"TYRA","Tyra Biosciences Inc","Healthcare","Biotechnology","USA",1709.74,,28.65,15.25%,1864601
168,"VCTR","Victory Capital Holdings Inc","Financial","Asset Management","USA",6995.48,20.84,113.73,0.24%,668186
169,"VIRT","Virtu Financial Inc","Financial","Capital Markets","USA",9999.55,10.69,64.43,0.37%,947435
170,"VOR","Vor Biopharma Inc","Healthcare","Biotechnology","USA",1482.02,,25.05,3.34%,421763
171,"VOYA","Voya Financial Inc","Financial","Financial Conglomerates","USA",9430.17,17.55,104.09,-0.73%,594324
172,"VSAT","Viasat Inc","Technology","Communication Equipment","USA",10375.77,,75.32,5.02%,1555019
173,"WAT","Waters Corp","Healthcare","Diagnostics & Research","USA",40220.81,102.22,409.38,-1.01%,352258
174,"WCC","Wesco International Inc","Industrials","Industrial Distribution","USA",17127.65,24.29,351.46,3.87%,468030
175,"WFRD","Weatherford International plc","Energy","Oil & Gas Equipment & Services","USA",6969.36,18.94,95.88,-0.57%,520873
176,"WHD","Cactus Inc","Energy","Oil & Gas Equipment & Services","USA",5625.39,60.06,70.16,-2.07%,547655
177,"WSFS","WSFS Financial Corp","Financial","Banks - Regional","USA",4055.06,13.31,79.37,0.75%,203001
178,"WTTR","Select Water Solutions Inc","Energy","Oil & Gas Equipment & Services","USA",2586.59,75.05,20.06,-0.55%,1098546
179,"WYFI","Whitefiber Inc","Technology","Information Technology Services","USA",759.09,,19.54,4.05%,1370126
180,"XMTR","Xometry Inc","Industrials","Industrial Distribution","USA",5304.15,,92.53,-0.55%,314184
181,"ZBIO","Zenas Biopharma Inc","Healthcare","Biotechnology","USA",2143.01,,32.88,-0.12%,452691
182,"ZYME","Zymeworks BC Inc","Healthcare","Biotechnology","USA",2087.35,,29.19,-2.37%,476599
